subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
rbd3,86,rms,phasic,3516.0,3531.0,15.0,0.0,3516.0,3531.0,3516.0,3531.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,86,tkeo,phasic,3516.0,3531.0,15.0,0.0,3516.0,3531.0,3516.0,3531.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,87,rms,phasic,3540.0,3552.0,12.0,0.0,3540.0,3552.0,3540.0,3552.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,87,tkeo,phasic,3540.0,3552.0,12.0,0.0,3540.0,3552.0,3540.0,3552.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,88,rms,phasic,3588.0,3603.0,15.0,0.0,3588.0,3603.0,3588.0,3603.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,88,tkeo,phasic,3588.0,3603.0,15.0,0.0,3588.0,3603.0,3588.0,3603.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,89,rms,phasic,3606.0,3636.0,30.0,0.0,3606.0,3636.0,3606.0,3636.0,30.0,False,False,2,0,0,2,any,only_ambiguous,False,True,False,True,False
rbd3,89,tkeo,phasic,3606.0,3636.0,30.0,0.0,3606.0,3636.0,3606.0,3636.0,30.0,False,False,2,0,0,2,any,only_ambiguous,False,True,False,True,False
rbd3,90,rms,phasic,3666.0,3687.0,21.0,0.0,3666.0,3687.0,3666.0,3687.0,21.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,90,tkeo,phasic,3666.0,3687.0,21.0,0.0,3666.0,3687.0,3666.0,3687.0,21.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,91,rms,phasic,3717.0,3744.0,27.0,0.0,3717.0,3744.0,3717.0,3744.0,27.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,91,tkeo,phasic,3717.0,3744.0,27.0,0.0,3717.0,3744.0,3717.0,3744.0,27.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,92,rms,phasic,3762.0,3786.0,24.0,0.0,3762.0,3786.0,3762.0,3786.0,24.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,92,tkeo,phasic,3762.0,3786.0,24.0,0.0,3762.0,3786.0,3762.0,3786.0,24.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,93,rms,phasic,3792.0,3807.0,15.0,0.0,3792.0,3807.0,3792.0,3807.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,93,tkeo,phasic,3792.0,3807.0,15.0,0.0,3792.0,3807.0,3792.0,3807.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,94,rms,phasic,3813.0,3825.0,12.0,0.0,3813.0,3825.0,3813.0,3825.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,94,tkeo,phasic,3813.0,3825.0,12.0,0.0,3813.0,3825.0,3813.0,3825.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,95,rms,phasic,3828.0,3873.0,45.0,0.0,3828.0,3873.0,3828.0,3873.0,45.0,False,False,5,2,0,3,any|phasic,same_type_detected,True,True,False,False,False
rbd3,95,tkeo,phasic,3828.0,3873.0,45.0,0.0,3828.0,3873.0,3828.0,3873.0,45.0,False,False,3,0,1,2,any|tonic,other_type_detected,False,True,False,False,True
rbd3,96,rms,phasic,3879.0,3909.0,30.0,0.0,3879.0,3909.0,3879.0,3909.0,30.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,96,tkeo,phasic,3879.0,3909.0,30.0,0.0,3879.0,3909.0,3879.0,3909.0,30.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,97,rms,phasic,3945.0,3984.0,39.0,0.0,3945.0,3984.0,3945.0,3984.0,39.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,97,tkeo,phasic,3945.0,3984.0,39.0,0.0,3945.0,3984.0,3945.0,3984.0,39.0,False,False,3,1,0,2,any|phasic,same_type_detected,True,True,False,False,False
rbd3,98,rms,phasic,4023.0,4047.0,24.0,0.0,4023.0,4047.0,4023.0,4047.0,24.0,False,False,5,5,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,98,tkeo,phasic,4023.0,4047.0,24.0,0.0,4023.0,4047.0,4023.0,4047.0,24.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
