subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
ins1,30,double,phasic,22071.0,22119.0,48.0,15870.0,6201.0,6249.0,6201.0,6249.0,48.0,False,False,5,3,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,31,single,phasic,22137.0,22161.0,24.0,15870.0,6267.0,6291.0,6267.0,6291.0,24.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,31,double,phasic,22137.0,22161.0,24.0,15870.0,6267.0,6291.0,6267.0,6291.0,24.0,False,False,3,2,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,32,single,phasic,22182.0,22215.0,33.0,15870.0,6312.0,6345.0,6312.0,6345.0,33.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,32,double,phasic,22182.0,22215.0,33.0,15870.0,6312.0,6345.0,6312.0,6345.0,33.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,33,single,phasic,22506.0,22521.0,15.0,15870.0,6636.0,6651.0,6636.0,6651.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,33,double,phasic,22506.0,22521.0,15.0,15870.0,6636.0,6651.0,6636.0,6651.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,34,single,phasic,22608.0,22620.0,12.0,15870.0,6738.0,6750.0,6738.0,6750.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,34,double,phasic,22608.0,22620.0,12.0,15870.0,6738.0,6750.0,6738.0,6750.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,35,single,phasic,22626.0,22632.0,6.0,15870.0,6756.0,6762.0,6756.0,6762.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,35,double,phasic,22626.0,22632.0,6.0,15870.0,6756.0,6762.0,6756.0,6762.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,36,single,phasic,22632.0,22644.0,12.0,15870.0,6762.0,6774.0,6762.0,6774.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,36,double,phasic,22632.0,22644.0,12.0,15870.0,6762.0,6774.0,6762.0,6774.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,37,single,phasic,22923.0,22929.0,6.0,15870.0,7053.0,7059.0,7053.0,7059.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,37,double,phasic,22923.0,22929.0,6.0,15870.0,7053.0,7059.0,7053.0,7059.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,38,single,phasic,22950.0,22953.0,3.0,15870.0,7080.0,7083.0,7080.0,7083.0,3.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,38,double,phasic,22950.0,22953.0,3.0,15870.0,7080.0,7083.0,7080.0,7083.0,3.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,39,single,phasic,22953.0,22959.0,6.0,15870.0,7083.0,7089.0,7083.0,7089.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,39,double,phasic,22953.0,22959.0,6.0,15870.0,7083.0,7089.0,7083.0,7089.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,40,single,phasic,22956.0,22971.0,15.0,15870.0,7086.0,7101.0,7086.0,7101.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,40,double,phasic,22956.0,22971.0,15.0,15870.0,7086.0,7101.0,7086.0,7101.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,41,single,phasic,23202.0,23208.0,6.0,15870.0,7332.0,7338.0,7332.0,7338.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,41,double,phasic,23202.0,23208.0,6.0,15870.0,7332.0,7338.0,7332.0,7338.0,6.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,42,single,phasic,23547.0,23574.0,27.0,15870.0,7677.0,7704.0,7677.0,7704.0,27.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,42,double,phasic,23547.0,23574.0,27.0,15870.0,7677.0,7704.0,7677.0,7704.0,27.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,43,single,phasic,23601.0,23613.0,12.0,15870.0,7731.0,7743.0,7731.0,7743.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,43,double,phasic,23601.0,23613.0,12.0,15870.0,7731.0,7743.0,7731.0,7743.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,44,single,phasic,23628.0,23643.0,15.0,15870.0,7758.0,7773.0,7758.0,7773.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,44,double,phasic,23628.0,23643.0,15.0,15870.0,7758.0,7773.0,7758.0,7773.0,15.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,45,single,phasic,23721.0,23751.0,30.0,15870.0,7851.0,7881.0,7851.0,7881.0,30.0,False,False,4,2,0,2,any|phasic,same_type_detected,True,True,False,False,False
ins1,45,double,phasic,23721.0,23751.0,30.0,15870.0,7851.0,7881.0,7851.0,7881.0,30.0,False,False,3,1,0,2,any|phasic,same_type_detected,True,True,False,False,False
ins1,46,single,phasic,23772.0,23799.0,27.0,15870.0,7902.0,7929.0,7902.0,7929.0,27.0,False,False,3,1,0,2,any|phasic,same_type_detected,True,True,False,False,False
ins1,46,double,phasic,23772.0,23799.0,27.0,15870.0,7902.0,7929.0,7902.0,7929.0,27.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,47,single,phasic,23841.0,23862.0,21.0,15870.0,7971.0,7992.0,7971.0,7992.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,47,double,phasic,23841.0,23862.0,21.0,15870.0,7971.0,7992.0,7971.0,7992.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,48,single,phasic,23967.0,23979.0,12.0,15870.0,8097.0,8109.0,8097.0,8109.0,12.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,48,double,phasic,23967.0,23979.0,12.0,15870.0,8097.0,8109.0,8097.0,8109.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,49,single,phasic,24246.0,24255.0,9.0,15870.0,8376.0,8385.0,8376.0,8385.0,9.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,49,double,phasic,24246.0,24255.0,9.0,15870.0,8376.0,8385.0,8376.0,8385.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,50,single,phasic,24444.0,24498.0,54.0,15870.0,8574.0,8628.0,8574.0,8628.0,54.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,50,double,phasic,24444.0,24498.0,54.0,15870.0,8574.0,8628.0,8574.0,8628.0,54.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,51,single,phasic,24504.0,24525.0,21.0,15870.0,8634.0,8655.0,8634.0,8655.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,51,double,phasic,24504.0,24525.0,21.0,15870.0,8634.0,8655.0,8634.0,8655.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,52,single,phasic,24540.0,24567.0,27.0,15870.0,8670.0,8697.0,8670.0,8697.0,27.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,52,double,phasic,24540.0,24567.0,27.0,15870.0,8670.0,8697.0,8670.0,8697.0,27.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,53,single,phasic,24642.0,24681.0,39.0,15870.0,8772.0,8811.0,8772.0,8811.0,39.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,53,double,phasic,24642.0,24681.0,39.0,15870.0,8772.0,8811.0,8772.0,8811.0,39.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,54,single,phasic,24747.0,24765.0,18.0,15870.0,8877.0,8895.0,8877.0,8895.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,54,double,phasic,24747.0,24765.0,18.0,15870.0,8877.0,8895.0,8877.0,8895.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,55,single,phasic,25767.0,25782.0,15.0,15870.0,9897.0,9912.0,9897.0,9912.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,55,double,phasic,25767.0,25782.0,15.0,15870.0,9897.0,9912.0,9897.0,9912.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,56,single,phasic,25869.0,25902.0,33.0,15870.0,9999.0,10032.0,9999.0,10032.0,33.0,False,False,3,1,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,56,double,phasic,25869.0,25902.0,33.0,15870.0,9999.0,10032.0,9999.0,10032.0,33.0,False,False,3,1,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,57,single,phasic,26001.0,26055.0,54.0,15870.0,10131.0,10185.0,10131.0,10185.0,54.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,57,double,phasic,26001.0,26055.0,54.0,15870.0,10131.0,10185.0,10131.0,10185.0,54.0,False,False,2,0,1,1,any|tonic,other_type_detected,False,True,False,False,True
ins1,58,single,phasic,26064.0,26091.0,27.0,15870.0,10194.0,10221.0,10194.0,10221.0,27.0,False,False,2,0,0,2,any,only_ambiguous,False,True,False,True,False
ins1,58,double,phasic,26064.0,26091.0,27.0,15870.0,10194.0,10221.0,10194.0,10221.0,27.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,59,single,phasic,26097.0,26118.0,21.0,15870.0,10227.0,10248.0,10227.0,10248.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,59,double,phasic,26097.0,26118.0,21.0,15870.0,10227.0,10248.0,10227.0,10248.0,21.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,60,single,phasic,26130.0,26154.0,24.0,15870.0,10260.0,10284.0,10260.0,10284.0,24.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,60,double,phasic,26130.0,26154.0,24.0,15870.0,10260.0,10284.0,10260.0,10284.0,24.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,61,single,phasic,26295.0,26313.0,18.0,15870.0,10425.0,10443.0,10425.0,10443.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,61,double,phasic,26295.0,26313.0,18.0,15870.0,10425.0,10443.0,10425.0,10443.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,62,single,phasic,26361.0,26382.0,21.0,15870.0,10491.0,10512.0,10491.0,10512.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,62,double,phasic,26361.0,26382.0,21.0,15870.0,10491.0,10512.0,10491.0,10512.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,63,single,phasic,26532.0,26547.0,15.0,15870.0,10662.0,10677.0,10662.0,10677.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,63,double,phasic,26532.0,26547.0,15.0,15870.0,10662.0,10677.0,10662.0,10677.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,64,single,phasic,26601.0,26619.0,18.0,15870.0,10731.0,10749.0,10731.0,10749.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,64,double,phasic,26601.0,26619.0,18.0,15870.0,10731.0,10749.0,10731.0,10749.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,65,single,phasic,26640.0,26658.0,18.0,15870.0,10770.0,10788.0,10770.0,10788.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,65,double,phasic,26640.0,26658.0,18.0,15870.0,10770.0,10788.0,10770.0,10788.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,66,single,phasic,26742.0,26757.0,15.0,15870.0,10872.0,10887.0,10872.0,10887.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,66,double,phasic,26742.0,26757.0,15.0,15870.0,10872.0,10887.0,10872.0,10887.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,67,single,phasic,26808.0,26826.0,18.0,15870.0,10938.0,10956.0,10938.0,10956.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,67,double,phasic,26808.0,26826.0,18.0,15870.0,10938.0,10956.0,10938.0,10956.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,68,single,phasic,26850.0,26862.0,12.0,15870.0,10980.0,10992.0,10980.0,10992.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,68,double,phasic,26850.0,26862.0,12.0,15870.0,10980.0,10992.0,10980.0,10992.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,69,single,phasic,26886.0,26904.0,18.0,15870.0,11016.0,11034.0,11016.0,11034.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,69,double,phasic,26886.0,26904.0,18.0,15870.0,11016.0,11034.0,11016.0,11034.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,70,single,phasic,26925.0,26943.0,18.0,15870.0,11055.0,11073.0,11055.0,11073.0,18.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,70,double,phasic,26925.0,26943.0,18.0,15870.0,11055.0,11073.0,11055.0,11073.0,18.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,71,single,phasic,26988.0,27003.0,15.0,15870.0,11118.0,11133.0,11118.0,11133.0,15.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,71,double,phasic,26988.0,27003.0,15.0,15870.0,11118.0,11133.0,11118.0,11133.0,15.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,72,single,phasic,27084.0,27102.0,18.0,15870.0,11214.0,11232.0,11214.0,11232.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,72,double,phasic,27084.0,27102.0,18.0,15870.0,11214.0,11232.0,11214.0,11232.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,73,single,phasic,27135.0,27162.0,27.0,15870.0,11265.0,11292.0,11265.0,11292.0,27.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,73,double,phasic,27135.0,27162.0,27.0,15870.0,11265.0,11292.0,11265.0,11292.0,27.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,74,single,phasic,27339.0,27354.0,15.0,15870.0,11469.0,11484.0,11469.0,11484.0,15.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,74,double,phasic,27339.0,27354.0,15.0,15870.0,11469.0,11484.0,11469.0,11484.0,15.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,75,single,phasic,27423.0,27438.0,15.0,15870.0,11553.0,11568.0,11553.0,11568.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
